ORDER	IID	IND	POP_CODE	POP	MITOTYPE	PLATE
1	A11146_O16	AD_A11146	AD	Audierne	ATL	1
2	A11170_A18	AD_A11170	AD	Audierne	ATL	1
3	A11173_C18	AD_A11173	AD	Audierne	MED	1
4	A11382_E18	AD_A11382	AD	Audierne	ATL	1
5	A11384_G18	AD_A11384	AD	Audierne	ATL	1
6	A11389_I18	AD_A11389	AD	Audierne	ATL	1
7	A11774_K18	AD_A11774	AD	Audierne	ATL	1
8	A11786_M18	AD_A11786	AD	Audierne	ATL	1
9	A11788_O18	AD_A11788	AD	Audierne	ATL	1
10	A11791_A20	AD_A11791	AD	Audierne	ATL	1
11	A11797_C20	AD_A11797	AD	Audierne	ATL	1
12	A11799_E20	AD_A11799	AD	Audierne	MED	1
13	A11800_G20	AD_A11800	AD	Audierne	ATL	1
14	A11801_I20	AD_A11801	AD	Audierne	ATL	1
15	A11806_K20	AD_A11806	AD	Audierne	ATL	1
16	A11809_M20	AD_A11809	AD	Audierne	ATL	1
17	A11811_O20	AD_A11811	AD	Audierne	ATL	1
18	A11813_A22	AD_A11813	AD	Audierne	ATL	1
19	A11817_C22	AD_A11817	AD	Audierne	ATL	1
20	A11818_E22	AD_A11818	AD	Audierne	ATL	1
21	A11821_G22	AD_A11821	AD	Audierne	ATL	1
22	A11822_I22	AD_A11822	AD	Audierne	ATL	1
23	A11827_K22	AD_A11827	AD	Audierne	ATL	1
24	A11830_M22	AD_A11830	AD	Audierne	ATL	1
25	A11835_O22	AD_A11835	AD	Audierne	ATL	1
26	A11837_A24	AD_A11837	AD	Audierne	ATL	1
27	A11845_C24	AD_A11845	AD	Audierne	ATL	1
28	A11849_E24	AD_A11849	AD	Audierne	ATL	1
29	A11850_G24	AD_A11850	AD	Audierne	ATL	1
30	A11853_I24	AD_A11853	AD	Audierne	ATL	1
31	A11854_K24	AD_A11854	AD	Audierne	ATL	1
32	A11858_M24	AD_A11858	AD	Audierne	ATL	1
33	A11862_O24	AD_A11862	AD	Audierne	ATL	1
34	A11864_B1	AD_A11864	AD	Audierne	ATL	1
35	A11865_D1	AD_A11865	AD	Audierne	ATL	1
36	A11868_F1	AD_A11868	AD	Audierne	ATL	1
37	A11877_H1	AD_A11877	AD	Audierne	ATL	1
38	A11879_J1	AD_A11879	AD	Audierne	ATL	1
39	A11883_L1	AD_A11883	AD	Audierne	ATL	1
40	A11891_N1	AD_A11891	AD	Audierne	ATL	1
41	A11893_P1	AD_A11893	AD	Audierne	ATL	1
42	A11894_B3	AD_A11894	AD	Audierne	ATL	1
43	A11899_D3	AD_A11899	AD	Audierne	ATL	1
44	A11901_F3	AD_A11901	AD	Audierne	ATL	1
45	A11902_H3	AD_A11902	AD	Audierne	ATL	1
46	A11903_J3	AD_A11903	AD	Audierne	ATL	1
47	A11913_L3	AD_A11913	AD	Audierne	ATL	1
48	A11918_N3	AD_A11918	AD	Audierne	ATL	1
49	A11920_P3	AD_A11920	AD	Audierne	ATL	1
50	A11922_B5	AD_A11922	AD	Audierne	ATL	1
51	A11929_D5	AD_A11929	AD	Audierne	MED	1
52	A12010_F5	AD_A12010	AD	Audierne	ATL	1
53	A11133_F7	AD_A11133	AD	Audierne	ATL	2
54	A11142_H7	AD_A11142	AD	Audierne	MED	2
55	A11160_J7	AD_A11160	AD	Audierne	ATL	2
56	A11176_L7	AD_A11176	AD	Audierne	ATL	2
57	A11177_N7	AD_A11177	AD	Audierne	ATL	2
58	A11772_P7	AD_A11772	AD	Audierne	ATL	2
59	A11785_B9	AD_A11785	AD	Audierne	ATL	2
60	A11790_D9	AD_A11790	AD	Audierne	MED	2
61	A11793_F9	AD_A11793	AD	Audierne	ATL	2
62	A11796_H9	AD_A11796	AD	Audierne	MED	2
63	A11841_J9	AD_A11841	AD	Audierne	ATL	2
64	A11842_L9	AD_A11842	AD	Audierne	ATL	2
65	A11847_N9	AD_A11847	AD	Audierne	MED	2
66	A11856_P9	AD_A11856	AD	Audierne	ATL	2
67	A11871_B11	AD_A11871	AD	Audierne	ATL	2
68	A11873_D11	AD_A11873	AD	Audierne	ATL	2
69	A11875_F11	AD_A11875	AD	Audierne	ATL	2
70	A11881_H11	AD_A11881	AD	Audierne	ATL	2
71	A11882_J11	AD_A11882	AD	Audierne	ATL	2
72	A11887_L11	AD_A11887	AD	Audierne	ATL	2
73	A11897_N11	AD_A11897	AD	Audierne	ATL	2
74	A11898_P11	AD_A11898	AD	Audierne	ATL	2
75	A11905_B13	AD_A11905	AD	Audierne	ATL	2
76	A11907_D13	AD_A11907	AD	Audierne	ATL	2
77	A11908_F13	AD_A11908	AD	Audierne	ATL	2
78	A11996_H13	AD_A11996	AD	Audierne	ATL	2
79	A10999_D14	CB_A10999	CB	Capbreton	ATL	1
80	A11001_F14	CB_A11001	CB	Capbreton	ATL	1
81	A11002_H14	CB_A11002	CB	Capbreton	MED	1
82	A11004_J14	CB_A11004	CB	Capbreton	ATL	1
83	A11007_L14	CB_A11007	CB	Capbreton	MED	1
84	A11008_N14	CB_A11008	CB	Capbreton	ATL	1
