ORDER	WELL	IND	Pop	Pop_Nb	Mito	Plate	Q1	Q2	SE
1	A09537_C6	SQ_A09537	SQ	7	ATL	1	0.012761	0.987239	0.016653
2	A09540_E6	SQ_A09540	SQ	7	ATL	1	0.001233	0.998767	0.017628
3	A09544_O24	SQ_A09544	SQ	7	ATL	2	0.052716	0.947284	0.022411
4	A10495_I15	DK_A10495	DK	11	ATL	2	0.00001	0.99999	0.006093
5	A10499_A1	DK_A10499	DK	11	ATL	1	0.00001	0.99999	0.00458
6	A10500_C1	DK_A10500	DK	11	ATL	1	0.015645	0.984355	0.016939
7	A10502_E1	DK_A10502	DK	11	ATL	1	0.00001	0.99999	0
8	A10503_G1	DK_A10503	DK	11	MED	1	0.04036	0.95964	0.022791
9	A10504_K15	DK_A10504	DK	11	ATL	2	0.06134	0.93866	0.019872
10	A10506_I1	DK_A10506	DK	11	ATL	1	0.018713	0.981287	0.015563
11	A10507_K1	DK_A10507	DK	11	ATL	1	0.00001	0.99999	0.006695
12	A10508_M1	DK_A10508	DK	11	ATL	1	0.00001	0.99999	0.008379
13	A10511_M15	DK_A10511	DK	11	ATL	2	0.003933	0.996067	0.01598
14	A10512_O15	DK_A10512	DK	11	ATL	2	0.00001	0.99999	0.007329
15	A10513_O1	DK_A10513	DK	11	ATL	1	0.031175	0.968825	0.024357
16	A10515_A17	DK_A10515	DK	11	ATL	2	0.029107	0.970893	0.014744
17	A10516_A3	DK_A10516	DK	11	ATL	1	0.00001	0.99999	0.003729
18	A10517_C17	DK_A10517	DK	11	ATL	2	0.144607	0.855393	0.042765
19	A10519_E17	DK_A10519	DK	11	ATL	2	0.055168	0.944832	0.027896
20	A10521_C3	DK_A10521	DK	11	ATL	1	0.00001	0.99999	0.002982
21	A10524_G17	DK_A10524	DK	11	ATL	2	0.000826	0.999174	0.015498
22	A10526_I3	DK_A10526	DK	11	ATL	1	0.021393	0.978607	0.013414
23	A10527_B19	NO_A10527	NO	4	ATL	2	0.024723	0.975277	0.021787
24	A10527_K3	DK_A10527	DK	11	ATL	1	0.03881	0.96119	0.013737
