sampID	population	mitotype	plate_number	spawning_behavior	spawning_ground_strategy	avg_spawning_depth	distance_s1_w1	distance_site_w1	avg_daily_distance	mvt_strategies
A09537_C6	SQ	ATL	1	NA	NA	NA	NA	NA	NA	NA
A09540_E6	SQ	ATL	1	NA	NA	NA	NA	NA	2.748	NA
A09544_O24	SQ	ATL	2	NA	NA	NA	NA	NA	NA	NA
A10495_I15	DK	ATL	2	NA	NA	NA	NA	NA	NA	NA
A10499_A1	DK	ATL	1	NA	NA	NA	NA	NA	2.087	NA
A10500_C1	DK	ATL	1	NA	NA	NA	NA	NA	2.781	NA
A10502_E1	DK	ATL	1	NA	NA	NA	NA	NA	4.249	NA
A10503_G1	DK	MED	1	NA	NA	NA	NA	NA	NA	NA
A10504_K15	DK	ATL	2	NA	NA	NA	NA	NA	NA	NA
A10506_I1	DK	ATL	1	NA	NA	-65.83	502	368	3.813	migrant
A10507_K1	DK	ATL	1	NA	NA	NA	NA	NA	2.029	NA
A10508_M1	DK	ATL	1	Fidelity	ICCNS	-67.06	366	432	2.898	migrant
A10511_M15	DK	ATL	2	NA	NA	NA	NA	NA	NA	NA
A10512_O15	DK	ATL	2	NA	NA	NA	NA	NA	NA	NA
A10513_O1	DK	ATL	1	NA	NA	-58.55	191	317	3.032	migrant
A10515_A17	DK	ATL	2	NA	NA	NA	NA	NA	NA	NA
A10516_A3	DK	ATL	1	NA	NA	-85.79	428	581	3.188	migrant
A10517_C17	DK	ATL	2	NA	NA	NA	NA	NA	NA	NA
A10519_E17	DK	ATL	2	NA	NA	NA	NA	NA	NA	NA
A10521_C3	DK	ATL	1	NA	NA	NA	NA	NA	1.566	NA
A10524_G17	DK	ATL	2	NA	NA	NA	NA	NA	NA	NA
A10526_I3	DK	ATL	1	NA	NA	NA	NA	NA	3.022	NA
A10527_B19	NO	ATL	2	NA	NA	NA	NA	NA	NA	NA
A10527_K3	DK	ATL	1	NA	NA	-67.75	182	262	2.834	migrant
A10528_I17	DK	ATL	2	NA	NA	NA	NA	NA	NA	NA
A10531_M3	DK	ATL	1	NA	NA	NA	NA	NA	2.454	NA
A10532_O3	DK	ATL	1	NA	NA	-52.97	228	279	2.824	migrant
A10533_K17	DK	MED	2	NA	NA	NA	NA	NA	NA	NA
A10536_A5	DK	ATL	1	Fidelity	ICCNS	-52.81	287	316	3.199	migrant
A10538_M17	DK	ATL	2	NA	NA	NA	NA	NA	NA	NA
A10541_O17	DK	ATL	2	NA	NA	NA	NA	NA	NA	NA
A10543_C5	DK	ATL	1	NA	NA	-73.18	141	249	3.609	migrant
A10545_E5	DK	ATL	1	Fidelity	ICCNS	-69.22	459	537	3.938	migrant
A10550_G5	DK	ATL	1	NA	NA	NA	NA	NA	NA	NA
A10551_I5	DK	ATL	1	NA	NA	NA	NA	NA	2.209	NA
A10552_K5	DK	ATL	1	Fidelity	BOB	-92.34	473	664	3.398	migrant
A10553_A19	DK	ATL	2	NA	NA	NA	NA	NA	2.556	NA
A10555_C19	DK	ATL	2	NA	NA	NA	NA	NA	NA	NA
A10558_M5	DK	ATL	1	Fidelity	ICCNS	-73.17	333	434	3.876	migrant
A10562_E19	DK	ATL	2	NA	NA	NA	NA	NA	NA	NA
A10567_O5	DK	ATL	1	NA	NA	NA	NA	NA	NA	NA
A10569_A7	DK	ATL	1	Fidelity	ICCNS	-97.52	391	596	3.288	migrant
A10572_C7	DK	ATL	1	Fidelity	BOB	-101.37	398	664	3.923	migrant
A10573_G19	DK	MED	2	NA	NA	NA	NA	NA	NA	NA
