sample_name	sample_filename	population	X	Y
AD_A11133	A11133_F7	AD	-4.57781666666667	47.9941833333333
AD_A11142	A11142_H7	AD	-4.60901666666667	48.00075
AD_A11146	A11146_O16	AD	-4.60503333333333	47.9986333333333
AD_A11160	A11160_J7	AD	-4.60503333333333	47.9986333333333
AD_A11170	A11170_A18	AD	-4.60503333333333	47.9986333333333
AD_A11173	A11173_C18	AD	-4.57781666666667	47.9941833333333
AD_A11176	A11176_L7	AD	-4.60503333333333	47.9986333333333
AD_A11177	A11177_N7	AD	-4.57781666666667	47.9941833333333
AD_A11382	A11382_E18	AD	-4.57781666666667	47.9941833333333
AD_A11384	A11384_G18	AD	-4.57781666666667	47.9941833333333
AD_A11389	A11389_I18	AD	-4.57781666666667	47.9941833333333
AD_A11389	A11389_I18	AD	-4.57781666666667	47.9941833333333
AD_A11772	A11772_P7	AD	-4.60801666666667	47.9966333333333
AD_A11774	A11774_K18	AD	-4.60503333333333	47.9986333333333
AD_A11785	A11785_B9	AD	-4.60503333333333	47.9986333333333
AD_A11786	A11786_M18	AD	-4.59395	47.99755
AD_A11786	A11786_M18	AD	-4.59395	47.99755
AD_A11788	A11788_O18	AD	-4.60503333333333	47.9986333333333
AD_A11790	A11790_D9	AD	-4.60801666666667	47.9966333333333
AD_A11791	A11791_A20	AD	-4.60503333333333	47.9986333333333
AD_A11791	A11791_A20	AD	-4.60503333333333	47.9986333333333
AD_A11793	A11793_F9	AD	-4.60801666666667	47.9966333333333
AD_A11796	A11796_H9	AD	-4.60801666666667	47.9966333333333
AD_A11797	A11797_C20	AD	-4.59395	47.99755
AD_A11797	A11797_C20	AD	-4.59395	47.99755
AD_A11799	A11799_E20	AD	-4.60153333333333	48.0007833333333
AD_A11800	A11800_G20	AD	-4.59395	47.99755
AD_A11801	A11801_I20	AD	-4.59395	47.99755
AD_A11801	A11801_I20	AD	-4.59395	47.99755
AD_A11806	A11806_K20	AD	-4.60503333333333	47.9986333333333
AD_A11806	A11806_K20	AD	-4.60503333333333	47.9986333333333
AD_A11809	A11809_M20	AD	-4.60153333333333	48.0007833333333
AD_A11809	A11809_M20	AD	-4.60153333333333	48.0007833333333
AD_A11811	A11811_O20	AD	-4.59756666666667	47.9985
AD_A11813	A11813_A22	AD	-4.59756666666667	47.9985
AD_A11817	A11817_C22	AD	-4.59395	47.99755
AD_A11818	A11818_E22	AD	-4.58811666666667	47.995
AD_A11821	A11821_G22	AD	-4.58811666666667	47.995
AD_A11822	A11822_I22	AD	-4.59756666666667	47.9985
AD_A11827	A11827_K22	AD	-4.59756666666667	47.9985
AD_A11830	A11830_M22	AD	-4.59395	47.99755
AD_A11830	A11830_M22	AD	-4.59395	47.99755
AD_A11835	A11835_O22	AD	-4.62465	48.0093166666667
AD_A11837	A11837_A24	AD	-4.62465	48.0093166666667
AD_A11837	A11837_A24	AD	-4.62465	48.0093166666667
AD_A11841	A11841_J9	AD	-4.62465	48.0093166666667
AD_A11842	A11842_L9	AD	-4.59395	47.99755
AD_A11845	A11845_C24	AD	-4.58811666666667	47.995
AD_A11847	A11847_N9	AD	-4.60801666666667	47.9966333333333
AD_A11849	A11849_E24	AD	-4.59756666666667	47.9985
AD_A11850	A11850_G24	AD	-4.59756666666667	47.9985
AD_A11850	A11850_G24	AD	-4.59756666666667	47.9985
AD_A11853	A11853_I24	AD	-4.60153333333333	48.0007833333333
AD_A11854	A11854_K24	AD	-4.62465	48.0093166666667
AD_A11856	A11856_P9	AD	-4.60801666666667	47.9966333333333
AD_A11858	A11858_M24	AD	-4.60801666666667	47.9966333333333
AD_A11862	A11862_O24	AD	-4.62465	48.0093166666667
AD_A11862	A11862_O24	AD	-4.62465	48.0093166666667
AD_A11864	A11864_B1	AD	-4.59756666666667	47.9985
AD_A11864	A11864_B1	AD	-4.59756666666667	47.9985
AD_A11865	A11865_D1	AD	-4.58811666666667	47.995
AD_A11868	A11868_F1	AD	-4.58811666666667	47.995
AD_A11871	A11871_B11	AD	-4.60503333333333	47.9986333333333
AD_A11873	A11873_D11	AD	-4.60503333333333	47.9986333333333
